#Table1
sdss_ra,sdss_dec,wise_ra,wise_dec,r,plate,mjd,fiberid,z,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3
7.12446035349615,-9.13541228813679,7.1248702,-9.1345506,19.4007,654,52146,336,0.05708783,685.207,190.9966,595.962,26.97523,16.107,15.764,12.658,0.3430004,3.106
31.0376040134078,-8.06652112316328,31.0376358,-8.0664286,19.14831,666,52149,579,0.04142066,13.18825,27.20464,88.44265,23.41157,14.873,14.836,11.767,0.0369997,3.069
359.720290242792,15.7566242058479,359.7203056,15.7567209,20.22399,750,52235,418,0.08125751,20.96336,25.98784,90.36654,22.28629,15.702,15.629,12.735,0.07299995,2.894
359.828207136266,15.6116630901268,359.8281986,15.6117639,18.50437,750,52235,403,0.1128706,33.72567,21.417,126.3367,104.3804,12.989,12.758,9.887,0.2309999,2.871
359.955678564402,-10.8170433011264,359.9555467,-10.8170427,19.70606,650,52143,204,0.1499962,49.23027,77.4669,319.6218,104.2749,14.792,14.324,10.411,0.4679995,3.913
359.680265147214,-9.1839349855143,359.6801751,-9.1838614,18.98782,650,52143,411,0.2268878,82.43893,67.69304,285.9025,143.041,14.324,13.771,10.117,0.5530005,3.654
19.5480470881136,-9.03024965924247,19.5479718,-9.0301443,19.38294,660,52177,547,0.1319601,13.44532,46.49785,181.7287,60.20414,14.856,14.589,10.993,0.2670002,3.596
15.2172320226169,-8.72428666685975,15.2171793,-8.7242313,18.43919,658,52146,441,0.06503433,85.77054,181.6385,657.5531,215.468,14.591,14.401,10.503,0.1899996,3.898
14.3900565735321,13.8492794940072,14.3902323,13.8494495,20.08242,420,51871,14,0.1300012,44.08854,19.67184,85.44009,12.39235,15.687,15.565,12.453,0.1220007,3.112
19.6532330574953,14.05735630845,19.6540158,14.0577619,18.54626,423,51821,70,0.0565645,38.46323,76.65861,395.7892,148.0065,13.829,13.541,9.488,0.2880001,4.053
