plate,mjd,fiberid,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux,w1mpro,w2mpro,w3mpro,w1_w2,w2_w3,ratio_oiii_hb,ratio_nii_ha
952,52409,227,8295.316,3371.086,17429.35,2644.452,10.398,9.749,5.86,0.6490002,3.888999,2.460726,0.1517241
895,52581,392,44.78548,45.76555,117.2329,152.6894,11.661,11.675,9.81,-0.01399994,1.865,0.9785849,1.302444
900,52637,420,43.77901,25.15762,180.2654,215.7392,12.44,12.235,9.412,0.2049999,2.823,1.740189,1.196786
2660,54504,446,599.7603,530.2423,2006.124,1419.034,10.695,10.448,8.517,0.2469997,1.931,1.131106,0.7073509
2660,54504,463,54.69788,16.87301,48.38818,39.3265,12.394,12.459,12.168,-0.06499958,0.2909994,3.241738,0.8127296
302,51688,4,638.9077,1519.601,6541.773,3709.226,11.009,10.883,7.397,0.1259995,3.486001,0.4204443,0.5670062
1594,52992,33,173.5253,1019.062,4204.322,3133.535,11.94,11.605,7.006,0.335,4.599,0.1702794,0.7453129
1594,52992,33,173.5253,1019.062,4204.322,3133.535,13.093,12.803,8.329,0.29,4.474,0.1702794,0.7453129
910,52377,585,149.3976,293.0728,1173.12,532.6129,11.669,11.629,8.388,0.03999996,3.241,0.5097627,0.4540138
1945,53387,140,3133.1,1413.284,4369.396,429.6342,12.463,12.445,9.136,0.0180006,3.309,2.216893,0.09832805
2478,54097,223,4906.175,2548.965,9633.144,1688.508,11.583,11.523,8.086,0.06000042,3.436999,1.924772,0.1752811
1427,52996,212,130.6609,51.40551,211.9384,310.5696,11.378,11.428,10.596,-0.05000019,0.8320007,2.54177,1.465377
2497,54154,171,147.558,104.3558,470.6015,747.5219,10.603,10.599,8.373,0.00399971,2.226,1.413989,1.588439
394,51913,327,42.83102,15.71654,125.415,154.1326,11.864,11.833,9.845,0.03100014,1.988,2.72522,1.22898
746,52238,384,29.34442,23.73733,75.15179,82.91508,11.77,11.853,11.242,-0.08299923,0.6110001,1.236214,1.103302
1622,53385,113,701.6871,972.806,5269.707,2822.474,11.018,10.664,6.572,0.3540001,4.092,0.7213022,0.5356036
655,52162,230,354.336,432.2445,1476.273,691.6788,12.257,12.103,8.719,0.1540003,3.384,0.8197583,0.4685303
655,52162,230,354.336,432.2445,1476.273,691.6788,13.22,12.968,9.415,0.2519999,3.553,0.8197583,0.4685303
328,52282,606,50.91447,34.54463,85.2169,51.62276,11.609,11.722,11.093,-0.1129999,0.6289997,1.473875,0.6057808
1372,53062,327,961.3674,2898.773,12253.38,5967.541,10.935,10.687,6.313,0.2480001,4.374,0.3316464,0.4870116
1382,53115,228,334.4578,176.8472,523.3359,561.2432,10.634,10.614,9.434,0.0199995,1.18,1.891224,1.072434
2228,53818,334,9336.208,1166.072,4811.205,4796.921,10.417,9.718,6.184,0.6989994,3.534,8.006548,0.9970312
2584,54153,460,63.93896,31.11802,117.9445,103.2221,11.159,11.231,10.129,-0.07199955,1.102,2.054724,0.8751753
1926,53317,615,135.2268,47.25696,184.0137,268.2448,10.791,10.773,8.675,0.0180006,2.098,2.861521,1.457744
766,52247,271,95.70547,44.00045,140.2651,210.8182,10.815,10.926,9.991,-0.1110001,0.9349995,2.175102,1.502998
349,51699,587,66.44958,318.4162,1335.11,755.6008,12.36,12.263,8.383,0.09700012,3.879999,0.2086878,0.5659464
2608,54474,596,126.5477,62.01491,169.6946,178.4844,11.287,11.333,9.485,-0.04600048,1.848001,2.040601,1.051797
2828,54438,520,10.70297,45.38665,75.81604,64.12659,12.485,12.498,11.386,-0.01300049,1.112,0.2358176,0.8458182
2666,54230,72,161.9444,73.57055,220.337,279.7395,11.185,11.283,10.588,-0.09799957,0.6949997,2.201212,1.269598
456,51910,47,204.2914,647.4868,2550.603,895.5151,12.096,11.927,7.916,0.1689997,4.011,0.3155144,0.3510993
459,51924,604,475.681,265.1546,925.1013,377.6988,11.907,11.961,9.779,-0.05400085,2.182,1.793976,0.4082783
