RAJ2000,DEJ2000,Plate,Fiber,MJD,iMAG,logLbol,e_logLbol,logLBHb,e_logLBHb,W_BHb_,e_W_BHb_,EWBHb,e_EWBHb,SN_Hb_,logBH,e_logBH,logEdd,redshift,h_beta_flux,D_L_Mpc,D_L_cm,L_Hbeta,log_L_Hbeta,M_BH_Msun,log_M_BH,log_L_bol,L_bol,L_Edd,log_L_Edd,Edd_Ratio,log_Edd_Ratio
208.02585,3.17364,530,575,52026,-22.94,45.023,0.005,42.47,0.01,7456.3,259.8,126.0,4.1,19.03,8.68,0.03,-1.76,0.2426316,219.4765,1255.391540172559,3.873733529632134e+27,4.138637373884125e+41,41.6168573753207,79287338.4882794,7.899203839729872,44.509845932801454,3.2347888152219874e+44,1.0941652711382557e+46,46.03908292613111,0.02956398727458101,-1.5292369933296541
208.13672,12.72259,1778,283,53883,-23.05,45.194,0.005,42.24,0.03,8549.2,608.5,51.6,3.5,21.05,8.89,0.06,-1.79,0.2384233,99.04922,1230.7857663611253,3.797808045043642e+27,1.795258303746752e+41,41.25412694417963,63679125.838421054,7.803997092949528,44.16887932752885,1.475296552436539e+44,8.787719365702105e+45,45.94387617935077,0.016788161877295777,-1.7749968518219152
208.29428,35.8274,2033,104,53476,-22.69,45.076,0.002,42.25,0.02,5036.2,172.2,66.8,2.8,30.46,8.37,0.03,-1.39,,,,,,,,,,,,,,
208.35884,36.34707,2033,512,53476,-25.3,46.039,0.001,43.42,0.02,2926.2,259.8,101.9,3.8,44.27,8.38,0.08,-0.44,0.2848447,3167.782,1507.1218912670986,4.650492230210084e+27,8.609203964008896e+42,42.9349629969797,73189271.08092871,7.864447421880047,45.74886521716092,5.608738823950961e+45,1.0100119409168162e+46,46.00432650828128,0.555314110332176,-0.25546129112036414
208.44586,35.72405,2033,57,53476,-22.76,45.05,0.003,42.28,0.04,3600.4,185.1,75.0,7.0,17.52,8.06,0.04,-1.11,0.1894373,569.4219,951.1625063929488,2.9349808209133287e+27,6.1638855384867494e+41,41.78985456540246,23384438.23799525,7.368926941357236,44.67246329147831,4.7039564409139555e+44,3.227052476843344e+45,45.508806027758474,0.14576634481988027,-0.8363427362801633
208.60869,14.69763,1777,612,53857,-22.63,45.135,0.006,42.26,0.04,4003.7,308.4,57.7,6.9,19.59,8.2,0.07,-1.16,0.2141182,299.8891,1090.4636959350437,3.3648193783507014e+27,4.26671915790762e+41,41.63009405786166,23275005.481449332,7.366889791933205,44.52228841438996,3.328805454347223e+44,3.2119507564400076e+45,45.50676887833444,0.10363812233649349,-0.9844804639444793
208.6487,18.08819,2756,228,54508,-23.5,45.404,0.065,43.06,0.02,4651.7,275.6,193.4,35.0,27.5,8.46,0.06,-1.16,0.1514729,2094.599,743.3925878676505,2.293869841521389e+27,1.3849952981573606e+42,42.14144829904106,62934550.482888065,7.79888913454679,45.002961401098595,1.0068421795059663e+45,8.684967966638553e+45,45.93876822094803,0.11592929108933218,-0.9358068198494307
208.69939,42.11152,1346,278,52822,-22.7,45.027,0.006,42.29,0.02,5741.0,406.6,83.5,4.8,16.56,8.46,0.06,-1.53,0.2318444,245.0868,1192.5010297154874,3.679673691519993e+27,4.170118544904284e+41,41.620148400936834,47214336.61378327,7.674073891999575,44.51293949688062,3.2579131068626465e+44,6.515578452702091e+45,45.81395297840081,0.05000190129721406,-1.3010134815201917
208.81184,29.92454,2116,520,53854,-22.74,45.203,0.006,41.83,0.09,1888.7,252.1,19.2,5.5,16.81,7.58,0.12,-0.48,0.2972019,150.8058,1582.4611404230795,4.882964862224728e+27,4.5185085365077684e+41,41.6549951071002,5357773.0767037105,6.728984315539008,44.545695400674184,3.5131395448369142e+44,7.39372684585112e+44,44.868863401940246,0.47515138415050595,-0.32316800126606016
208.819,56.2124,1323,443,52797,-22.64,45.126,0.002,42.13,0.01,1412.4,50.9,43.9,0.99,35.75,7.29,0.03,-0.26,,,,,,,,,,,,,,
208.89247,39.14091,1378,208,53061,-23.22,45.23,0.004,42.49,0.02,3378.0,139.4,85.3,3.9,25.4,8.1,0.04,-0.97,,,,,,,,,,,,,,
